Air Pressure,PWM
1.82,50
2.43,50
2.23,50
98.03,50
197.26,50
193.69,50
191.66,50
190.23,50
188.79,50
187.48,50
186.51,50
185.27,50
184.32,50
183.35,50
182.36,50
181.41,50
180.39,50
179.54,50
178.65,50
207.44,50
205.99,50
204.59,50
203.54,50
202.66,50
201.53,50
200.46,50
199.49,50
198.61,50
197.64,50
196.81,50
195.71,50
194.85,50
193.87,50
192.94,50
192.14,50
191.18,50
190.37,50
189.56,50
188.53,50
187.87,50
186.97,50
185.94,50
185.15,50
184.52,50
183.55,50
182.73,50
181.9,50
181.03,50
180.33,50
179.5,50
178.58,50
177.92,50
177.14,50
176.4,50
175.49,50
174.78,50
173.96,50
173.29,50
172.65,50
171.78,50
171.12,50
204.18,50
202.75,50
201.68,50
200.81,50
199.68,50
198.8,50
197.95,50
196.93,50
196.17,50
195.16,50
194.35,50
193.5,50
192.66,50
191.85,50
190.96,50
190.14,50
189.22,50
188.51,50
187.68,50
186.74,50
185.95,50
185.22,50
184.28,50
183.57,50
182.81,50
181.93,50
181.2,50
180.45,50
179.64,50
178.84,50
178.09,50
177.34,50
176.64,50
175.98,50
175.17,50
208.98,50
206.75,50
205.45,50
204.54,50
203.65,50
202.69,50
201.79,50
200.68,50
199.92,50
199.05,50
198.19,50
197.19,50
196.32,50
195.51,50
194.7,50
193.64,50
192.99,50
191.98,50
191.24,50
190.46,50
189.57,50
188.82,50
188,50
187.09,50
186.26,50
185.47,50
184.76,50
184.03,50
183.21,50
182.48,50
181.66,50
180.94,50
180.12,50
179.35,50
178.59,50
177.87,50
177.11,50
176.4,50
208.23,50
206.65,50
205.52,50
204.51,50
203.62,50
202.67,50
201.83,50
200.74,50
200.14,50
199.09,50
198.21,50
197.19,50
196.43,50
195.56,50
194.69,50
193.81,50
193.08,50
192.11,50
191.27,50
190.52,50
189.64,50
188.83,50
188.04,50
187.23,50
186.46,50
185.57,50
184.68,50
183.83,50
182.97,50
182.24,50
181.37,50
180.57,50
179.95,50
179.04,50
178.44,50
177.59,50
176.92,50
176.13,50
175.46,50
174.78,50
174.05,50
173.4,50
205.31,50
203.84,50
202.83,50
201.76,50
200.79,50
200.06,50
199.15,50
198.31,50
197.42,50
196.52,50
195.58,50
194.9,50
193.87,50
193.13,50
192.34,50
191.56,50
190.75,50
189.93,50
189.27,50
188.39,50
187.64,50
186.82,50
186.08,50
185.38,50
-0.05,60
11.86,60
92.2,60
278.06,60
269.93,60
267.33,60
265.29,60
263.54,60
262.13,60
260.73,60
259.41,60
258.02,60
256.83,60
255.6,60
254.45,60
253.3,60
252.01,60
250.93,60
249.78,60
248.76,60
247.57,60
246.4,60
245.4,60
244.36,60
243.28,60
242.29,60
241.13,60
240.1,60
239.22,60
238.17,60
237.15,60
236.05,60
235.03,60
234.25,60
233.23,60
232.25,60
231.36,60
230.32,60
229.31,60
228.35,60
227.46,60
226.53,60
225.57,60
224.6,60
223.69,60
222.79,60
221.87,60
221.03,60
220,60
219.19,60
218.24,60
217.24,60
216.37,60
215.62,60
214.66,60
213.77,60
213.03,60
212.06,60
211.17,60
210.29,60
209.47,60
208.65,60
207.83,60
207.06,60
206.12,60
205.36,60
204.49,60
203.77,60
202.8,60
238.66,60
236.88,60
235.47,60
234.37,60
233.31,60
232.23,60
231.2,60
230.2,60
229.36,60
228.34,60
227.41,60
226.38,60
225.4,60
224.62,60
223.56,60
222.68,60
221.62,60
220.74,60
219.81,60
218.86,60
217.95,60
216.93,60
216.06,60
215.31,60
214.5,60
213.47,60
212.57,60
211.67,60
210.79,60
209.92,60
209.23,60
208.3,60
207.42,60
206.56,60
205.55,60
204.9,60
204.04,60
203.32,60
202.41,60
201.56,60
200.82,60
199.99,60
199.24,60
198.38,60
197.66,60
196.8,60
196.03,60
195.18,60
194.33,60
193.48,60
192.79,60
191.95,60
191.17,60
190.39,60
189.69,60
188.91,60
188.24,60
187.41,60
186.62,60
185.83,60
185.01,60
184.19,60
183.54,60
182.84,60
182.19,60
181.43,60
180.58,60
179.93,60
179.24,60
220.68,60
216.7,60
215.36,60
214.25,60
213.31,60
212.32,60
211.42,60
210.43,60
209.51,60
208.53,60
207.58,60
206.87,60
205.97,60
204.95,60
204.16,60
203.37,60
202.43,60
201.54,60
200.79,60
199.89,60
199.07,60
198.25,60
197.43,60
196.53,60
195.76,60
194.9,60
194.07,60
193.31,60
192.58,60
191.77,60
190.92,60
190.17,60
189.34,60
188.59,60
187.85,60
187.05,60
186.31,60
185.57,60
184.62,60
184.01,60
183.21,60
182.44,60
181.54,60
180.99,60
180.23,60
179.43,60
178.69,60
178,60
177.19,60
176.58,60
175.88,60
175.12,60
174.42,60
173.75,60
172.92,60
172.24,60
171.47,60
170.79,60
170.27,60
169.43,60
168.73,60
168.12,60
-0.08,70
13.3,70
182.71,70
335.18,70
357.69,70
354.3,70
352.02,70
349.81,70
347.86,70
345.95,70
344.18,70
342.47,70
340.8,70
339.18,70
337.62,70
336.12,70
334.57,70
333.09,70
331.64,70
330.13,70
328.68,70
327.21,70
325.91,70
324.43,70
323.09,70
321.59,70
320.28,70
318.91,70
317.52,70
316.23,70
314.95,70
313.51,70
312.22,70
310.94,70
309.49,70
308.32,70
307.09,70
305.73,70
304.55,70
303.17,70
301.96,70
300.65,70
299.45,70
298.22,70
297.04,70
295.8,70
294.42,70
293.35,70
292.05,70
290.94,70
289.62,70
288.55,70
287.46,70
286.25,70
285.1,70
283.89,70
282.71,70
281.5,70
280.46,70
279.3,70
278.23,70
277.08,70
275.98,70
274.86,70
273.56,70
272.71,70
271.56,70
270.45,70
269.28,70
268.22,70
267.14,70
266.07,70
265.02,70
263.9,70
263,70
261.93,70
260.82,70
259.83,70
258.71,70
257.6,70
256.69,70
255.62,70
254.62,70
253.59,70
252.62,70
251.6,70
250.59,70
249.57,70
248.56,70
247.59,70
246.6,70
245.56,70
244.62,70
243.75,70
242.6,70
241.67,70
278.13,70
276,70
274.6,70
273.45,70
272.18,70
271.11,70
269.95,70
268.68,70
267.53,70
266.51,70
265.25,70
264.07,70
262.99,70
261.94,70
260.8,70
259.86,70
258.66,70
257.62,70
256.46,70
255.5,70
254.46,70
253.39,70
252.51,70
251.38,70
250.3,70
249.29,70
248.22,70
247.26,70
246.24,70
245.31,70
244.31,70
243.24,70
242.25,70
241.24,70
240.29,70
239.26,70
238.34,70
237.32,70
236.4,70
235.42,70
234.49,70
233.46,70
232.62,70
231.55,70
230.64,70
229.65,70
228.81,70
227.88,70
226.96,70
226.1,70
225.21,70
224.24,70
223.34,70
222.31,70
221.41,70
220.59,70
219.74,70
218.79,70
217.96,70
217.05,70
216.15,70
215.32,70
214.41,70
213.54,70
212.75,70
211.84,70
211,70
210.15,70
209.22,70
208.32,70
207.49,70
206.69,70
205.86,70
205.03,70
204.2,70
203.4,70
202.62,70
201.76,70
201.03,70
200.06,70
199.19,70
289.82,70
286.06,70
284.31,70
282.79,70
281.53,70
280.1,70
278.83,70
277.68,70
276.51,70
275.27,70
274.01,70
273,70
271.74,70
270.65,70
269.3,70
268.46,70
267.31,70
266.04,70
265.01,70
263.86,70
262.77,70
261.62,70
260.64,70
0.06,80
3.86,80
214.04,80
391.24,80
470.81,80
501.73,80
497.33,80
493.96,80
490.99,80
488.3,80
485.65,80
483.18,80
480.94,80
478.66,80
476.21,80
474.08,80
471.75,80
469.72,80
467.5,80
465.27,80
463.3,80
461.27,80
459.23,80
457.28,80
