Air Pressure,PWM
0.08,80
0.57,80
4.39,80
12.27,80
30.72,80
58.8,80
90.69,80
87.11,80
97.7,80
103.59,80
96.33,80
88.01,80
80.76,80
75.02,80
70.31,80
68.95,80
67.81,80
72.96,80
72.27,80
96.24,80
86.17,80
77.38,80
69.7,80
62.64,80
56.11,80
50.27,80
44.77,80
39.84,80
35.95,80
34.79,80
41.6,80
44.55,80
65.99,80
80.42,80
85.87,80
81.63,80
103.29,80
99.39,80
93.6,80
88.43,80
84.07,80
80.5,80
76.65,80
74.82,80
80.11,80
75.88,80
95.6,80
98.05,80
91.2,80
86.25,80
81.92,80
78.61,80
75.22,80
76.6,80
77.57,80
81.59,80
102.57,80
94.18,80
88.54,80
84.07,80
80.57,80
76.57,80
75.28,80
80.38,80
76.29,80
98.78,80
97.92,80
91.38,80
86.59,80
82.59,80
79.09,80
76.27,80
80.17,80
77.02,80
86.07,80
102.84,80
94.7,80
89.5,80
85.09,80
81.8,80
77.74,80
76.35,80
81.43,80
77.18,80
97.87,80
99.73,80
93.09,80
88.34,80
84.35,80
80.94,80
77.64,80
79.32,80
80.18,80
81.6,80
104.43,80
97.04,80
91.56,80
87.19,80
83.53,80
79.85,80
77.46,80
82.23,80
77.28,80
91.39,80
102.96,80
95.51,80
90.56,80
86.33,80
83.02,80
78.97,80
77.51,80
82.52,80
78.03,80
98.75,80
100.69,80
94.29,80
89.76,80
85.76,80
82.58,80
79.01,80
77.71,80
82.29,80
80.42,80
104.25,80
98.89,80
93.45,80
89.04,80
85.19,80
82.12,80
78.89,80
79.27,80
81.52,80
81.38,80
105.21,80
98.7,80
93.37,80
89.04,80
85.54,80
81.89,80
79.29,80
83.63,80
78.66,80
89.73,80
105.08,80
97.56,80
92.7,80
88.4,80
85.11,80
81.56,80
79.43,80
84.15,80
78.77,80
93.28,80
104.8,80
97.6,80
92.71,80
88.5,80
85.39,80
81.45,80
79.26,80
84.06,80
78.88,80
93.31,80
104.64,80
97.33,80
92.6,80
88.4,80
85.24,80
81.36,80
79.4,80
84.18,80
79.29,80
95.84,80
103.5,80
96.86,80
92.31,80
88.19,80
85.08,80
80.99,80
78.83,80
83.82,80
79.5,80
95,80
104.42,80
97.28,80
92.66,80
88.54,80
85.53,80
81.51,80
79.97,80
84.74,80
79.97,80
99.69,80
103.25,80
97.08,80
92.53,80
88.44,80
85.49,80
81.49,80
79.37,80
0.03,90
0.82,90
3.85,90
16.39,90
51.19,90
110.51,90
123.95,90
142.82,90
135.63,90
132.5,90
131.92,90
129.1,90
123.74,90
120,90
124.7,90
121.66,90
143.64,90
142.37,90
138.31,90
134.76,90
131.48,90
128.37,90
128.39,90
128.44,90
124.93,90
121.99,90
125.9,90
123.89,90
144.87,90
143.19,90
139.66,90
135.87,90
132.42,90
129.09,90
126,90
122.75,90
120.07,90
121.29,90
119.41,90
116.79,90
119.19,90
117.2,90
137.35,90
141.94,90
137.93,90
134.73,90
133.39,90
135.08,90
131.16,90
124.83,90
122.82,90
126.36,90
126.55,90
145.77,90
144.04,90
140.55,90
136.92,90
133.49,90
130.2,90
127.13,90
124.1,90
121.49,90
122.87,90
120.98,90
118.09,90
117.95,90
117.55,90
135.47,90
142.92,90
138.63,90
135.05,90
131.9,90
128.73,90
126.86,90
129.53,90
125.88,90
120.99,90
123.35,90
120.6,90
140.04,90
144.54,90
140.94,90
137.19,90
133.64,90
130.45,90
127.28,90
124.16,90
121.19,90
119.84,90
121.67,90
118.61,90
117.3,90
120.23,90
125.73,90
144.28,90
140.93,90
138.38,90
141.52,90
137.65,90
131.87,90
126.07,90
124.59,90
125.2,90
136.39,90
144.82,90
141.9,90
139.85,90
137.72,90
135.01,90
131.74,90
128.31,90
125.24,90
122.16,90
119.15,90
116.86,90
119.14,90
115.85,90
114.47,90
119.54,90
115.75,90
139.91,90
139.93,90
136.42,90
135.36,90
136.7,90
132.96,90
126.5,90
123.81,90
127.68,90
124.89,90
145.67,90
144.84,90
141.83,90
138.73,90
135.3,90
131.92,90
128.96,90
125.83,90
122.86,90
120.71,90
123.32,90
119.85,90
117.43,90
121.82,90
117.77,90
139.47,90
141.66,90
137.64,90
134.13,90
130.95,90
127.69,90
125.02,90
125.8,90
125.07,90
121.73,90
119.51,90
123.26,90
124.48,90
144.94,90
142.45,90
138.78,90
135.45,90
132.42,90
129.87,90
131.3,90
129.79,90
125.8,90
120.93,90
124.58,90
120.85,90
140.95,90
142.52,90
139.79,90
136.96,90
133.75,90
130.5,90
127.31,90
124.31,90
121.25,90
119.03,90
121.23,90
118.2,90
115.63,90
119.69,90
116.48,90
138.88,90
142.07,90
138.32,90
137.23,90
138.28,90
135.36,90
129.17,90
124.59,90
128.68,90
124.4,90
144.56,90
143.21,90
140.48,90
138.48,90
136.22,90
0.02,100
2.38,100
7.36,100
27.69,100
103.42,100
163.93,100
191.3,100
184.64,100
183.36,100
191.96,100
187.22,100
183.72,100
180.74,100
177.99,100
175.3,100
172.71,100
170.32,100
167.81,100
165.51,100
163.28,100
161.06,100
158.95,100
156.86,100
154.86,100
153.1,100
151.59,100
150.43,100
151.85,100
153.36,100
150.66,100
148.37,100
146.93,100
153.34,100
151.31,100
149.41,100
153.04,100
163.96,100
174.79,100
172.09,100
168.95,100
166.19,100
163.58,100
161.23,100
158.97,100
159.75,100
164.13,100
159.54,100
154.14,100
152.91,100
155.82,100
174.65,100
174.41,100
172.42,100
171.25,100
169.43,100
166.89,100
164.31,100
161.89,100
159.61,100
157.75,100
161.66,100
161.82,100
157.25,100
152.38,100
156.82,100
154.85,100
175.84,100
176.82,100
174.38,100
171.44,100
168.81,100
166.41,100
164.05,100
162.4,100
168.16,100
165.39,100
160.64,100
155.03,100
153.46,100
157.61,100
165.81,100
176.64,100
175.74,100
173.5,100
170.59,100
168.05,100
165.72,100
163.56,100
162.74,100
169.08,100
164.17,100
158.81,100
153.57,100
153.41,100
154.68,100
173.28,100
176.93,100
175.26,100
172.56,100
169.74,100
167.38,100
165.04,100
163.09,100
166.45,100
167.12,100
162.77,100
156.83,100
152.45,100
157.04,100
154.57,100
175.24,100
175.51,100
173.84,100
171.32,100
168.69,100
166.13,100
163.98,100
161.78,100
163.53,100
166.65,100
162.3,100
156.42,100
152.31,100
157.56,100
155.52,100
175.97,100
176.36,100
174.06,100
171.08,100
168.53,100
166.2,100
163.99,100
162.72,100
169.3,100
165.33,100
160.05,100
154.85,100
153.76,100
155.72,100
174.84,100
174.34,100
172.45,100
171.69,100
170.4,100
168.13,100
165.5,100
163.25,100
161,100
159.09,100
163.2,100
162.58,100
158.49,100
152.93,100
151.02,100
156.09,100
162.3,100
174.38,100
173.07,100
171.05,100
168.51,100
166.02,100
163.65,100
161.35,100
159.88,100
166.16,100
162.69,100
158.11,100
153.1,100
153.9,100
154.91,100
175.21,100
176.88,100
174.88,100
172.43,100
169.66,100
167.2,100
165.05,100
162.98,100
165.93,100
167.3,100
162.97,100
157.11,100
152.76,100
157.6,100
155.23,100
174.91,100
172.88,100
171.72,100
170.85,100
168.9,100
166.22,100
163.84,100
161.52,100
159.33,100
158.74,100
164.91,100
160.63,100
155.22,100
151.86,100
157.96,100
0.09,110
3.66,110
11.32,110
56.08,110
161.62,110
227.09,110
225.83,110
225.07,110
220.28,110
216.76,110
213.73,110
210.94,110
208.24,110
205.98,110
203.6,110
201.37,110
199.21,110
197.04,110
195.17,110
193.17,110
191.26,110
189.39,110
187.66,110
185.96,110
184.27,110
182.72,110
181.25,110
180.05,110
179.16,110
178.86,110
183.24,110
182.63,110
180.94,110
188.86,110
190.41,110
196.07,110
198.6,110
208.33,110
205.95,110
204.43,110
203.06,110
202.23,110
201.26,110
199.85,110
197.72,110
195.52,110
193.56,110
191.76,110
195.34,110
200.41,110
193.31,110
191.85,110
194.48,110
209.85,110
206.36,110
204.43,110
202.96,110
201.79,110
200.99,110
201.06,110
200.07,110
197.79,110
195.68,110
193.87,110
192.57,110
202.83,110
198.14,110
191.91,110
195.88,110
198.02,110
209.08,110
206.47,110
204.92,110
203.7,110
202.78,110
202.83,110
201.97,110
199.87,110
197.75,110
195.71,110
194.28,110
203.14,110
200.76,110
193.75,110
192.1,110
194.6,110
210.07,110
206.63,110
204.75,110
203.43,110
202.38,110
201.94,110
202.25,110
200.72,110
198.48,110
196.49,110
194.62,110
197,110
203.84,110
196.16,110
191.16,110
196.59,110
200.35,110
207.35,110
205.02,110
203.55,110
202.36,110
201.79,110
202.11,110
201.05,110
198.74,110
196.73,110
194.82,110
194.63,110
204.84,110
197.56,110
191.59,110
196,110
197.79,110
208.95,110
206.53,110
205.16,110
204.03,110
203.93,110
203.91,110
201.87,110
199.78,110
197.86,110
196.1,110
202.12,110
203.96,110
196.52,110
192.99,110
194.97,110
208.12,110
208.35,110
206.13,110
204.78,110
203.66,110
203.03,110
203.05,110
202.08,110
199.79,110
197.84,110
195.86,110
194.9,110
205.34,110
199.5,110
192.71,110
190.13,110
194.17,110
208.77,110
205.43,110
203.54,110
202.33,110
201.23,110
200.54,110
200.99,110
199.91,110
197.66,110
195.58,110
193.81,110
193.22,110
203.51,110
196.79,110
190.38,110
189.74,110
195.11,110
209.41,110
206.61,110
205.13,110
204,110
203.44,110
202.95,110
201.42,110
199.1,110
197.16,110
195.26,110
194.14,110
204.44,110
198.99,110
192.25,110
189.78,110
194.88,110
209.83,110
206.79,110
205.2,110
204.12,110
203.61,110
203.76,110
202.54,110
200.18,110
198.18,110
196.35,110
196.1,110
206.43,110
198.98,110
192.38,110
192.52,110
195.09,110
0.11,120
4.09,120
14.43,120
81.9,120
209.85,120
278.06,120
290.87,120
286.18,120
280.99,120
277.74,120
277.22,120
271.99,120
268.25,120
265.61,120
262.92,120
260.4,120
257.96,120
255.61,120
253.16,120
250.72,120
248.51,120
246.16,120
243.88,120
241.49,120
