SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Test1,1-Stretch,0.000,60.598,0,0.010
Test1,1-Stretch,0.067,60.598,0,0.010
Test1,1-Stretch,0.133,60.598,0,0.010
Test1,1-Stretch,0.200,60.598,0,-0.011
Test1,1-Stretch,0.267,60.598,0,-0.033
Test1,1-Stretch,0.333,60.598,0,-0.011
Test1,1-Stretch,0.400,60.598,0,0.010
Test1,1-Stretch,0.467,60.598,0,0.010
Test1,1-Stretch,0.533,60.598,0,-0.011
Test1,1-Stretch,0.600,60.598,0,-0.011
Test1,1-Stretch,0.667,60.598,0,0.010
Test1,1-Stretch,0.733,60.598,0,0.010
Test1,1-Stretch,0.800,60.598,0,0.010
Test1,1-Stretch,0.867,60.598,0,-0.011
Test1,1-Stretch,0.933,60.598,0,-0.033
Test1,1-Stretch,1.000,60.598,0,0.010
Test1,1-Stretch,1.067,60.598,0,0.010
Test1,1-Stretch,1.133,60.598,0,0.010
Test1,1-Stretch,1.200,60.598,0,-0.011
Test1,1-Stretch,1.267,60.598,0,0.010
Test1,1-Stretch,1.333,60.598,0,0.010
Test1,1-Stretch,1.400,60.598,0,0.010
Test1,1-Stretch,1.467,60.598,0,0.010
Test1,1-Stretch,1.533,60.598,0,-0.011
Test1,1-Stretch,1.600,60.598,0,-0.033
Test1,1-Stretch,1.667,60.598,0,-0.011
Test1,1-Stretch,1.733,60.598,0,0.010
Test1,1-Stretch,1.800,60.598,0,-0.011
Test1,1-Stretch,1.867,60.598,0,-0.011
Test1,1-Stretch,1.933,60.598,0,0.010
Test1,1-Stretch,2.000,60.598,0,0.010
Test1,1-Stretch,2.067,60.598,0,0.010
Test1,1-Stretch,2.133,60.598,0,0.010
Test1,1-Stretch,2.200,60.598,0,-0.033
Test1,1-Stretch,2.267,60.598,0,-0.011
Test1,1-Stretch,2.333,60.598,0,0.010
Test1,1-Stretch,2.400,60.598,0,0.010
Test1,1-Stretch,2.467,60.598,0,-0.011
Test1,1-Stretch,2.533,60.598,0,-0.011
Test1,1-Stretch,2.600,60.598,0,0.010
Test1,1-Stretch,2.667,60.598,0,0.010
Test1,1-Stretch,2.733,60.598,0,0.010
Test1,1-Stretch,2.800,60.598,0,-0.011
Test1,1-Stretch,2.867,60.598,0,-0.033
Test1,1-Stretch,2.933,60.598,0,0.010
Test1,1-Stretch,3.000,60.598,0,0.010
Test1,1-Stretch,3.067,60.598,0,-0.011
Test1,1-Stretch,3.133,60.598,0,-0.011
Test1,1-Stretch,3.200,60.598,0,0.010
Test1,1-Stretch,3.267,60.598,0,0.010
Test1,1-Stretch,3.333,60.598,0,0.010
Test1,1-Stretch,3.400,60.598,0,0.010
Test1,1-Stretch,3.467,60.598,0,-0.011
Test1,1-Stretch,3.533,60.598,0,-0.011
Test1,1-Stretch,3.600,60.598,0,0.010
Test1,1-Stretch,3.667,60.598,0,0.010
Test1,1-Stretch,3.733,60.598,0,-0.011
Test1,1-Stretch,3.800,60.598,0,-0.011
Test1,1-Stretch,3.867,60.598,0,0.010
Test1,1-Stretch,3.933,60.598,0,0.010
Test1,1-Stretch,4.000,60.598,0,0.010
Test1,1-Stretch,4.067,60.598,0,-0.011
Test1,1-Stretch,4.133,60.598,0,-0.033
Test1,1-Stretch,4.200,60.598,0,0.010
Test1,1-Stretch,4.267,60.598,0,0.010
Test1,1-Stretch,4.333,60.598,0,0.010
Test1,1-Stretch,4.400,60.598,0,-0.011
Test1,1-Stretch,4.467,60.598,0,0.010
Test1,1-Stretch,4.533,60.598,0,0.010
Test1,1-Stretch,4.600,60.598,0,0.010
Test1,1-Stretch,4.667,60.598,0,0.010
Test1,1-Stretch,4.733,60.598,0,-0.011
Test1,1-Stretch,4.800,60.598,0,-0.033
Test1,1-Stretch,4.867,60.598,0,0.010
Test1,1-Stretch,4.933,60.598,0,0.010
Test1,1-Stretch,5.000,60.598,0,-0.011
Test1,1-Stretch,5.067,60.598,0,-0.011
Test1,1-Stretch,5.133,60.598,0,0.010
Test1,1-Stretch,5.200,60.598,0,0.010
Test1,1-Stretch,5.267,60.598,0,0.010
Test1,1-Stretch,5.333,60.598,0,0.010
Test1,1-Stretch,5.400,60.598,0,-0.033
Test1,1-Stretch,5.467,60.598,0,0.010
Test1,1-Stretch,5.533,60.598,0,0.010
Test1,1-Stretch,5.600,60.598,0,0.010
Test1,1-Stretch,5.667,60.598,0,-0.011
Test1,1-Stretch,5.733,60.598,0,-0.011
Test1,1-Stretch,5.800,60.598,0,0.010
Test1,1-Stretch,5.867,60.598,0,0.010
Test1,1-Stretch,5.933,60.598,0,0.010
Test1,1-Stretch,6.000,60.598,0,-0.011
Test1,1-Stretch,6.067,60.598,0,-0.033
Test1,1-Stretch,6.133,60.598,0,0.010
Test1,1-Stretch,6.200,60.598,0,0.010
Test1,1-Stretch,6.267,60.598,0,-0.011
Test1,1-Stretch,6.333,60.598,0,-0.011
Test1,1-Stretch,6.400,60.598,0,0.010
Test1,1-Stretch,6.467,60.598,0,0.010
Test1,1-Stretch,6.533,60.598,0,0.010
Test1,1-Stretch,6.600,60.598,0,0.010
Test1,1-Stretch,6.667,60.598,0,-0.033
Test1,1-Stretch,6.733,60.598,0,-0.011
Test1,1-Stretch,6.800,60.598,0,0.010
Test1,1-Stretch,6.867,60.598,0,0.010
Test1,1-Stretch,6.933,60.598,0,-0.011
Test1,1-Stretch,7.000,60.598,0,-0.011
Test1,1-Stretch,7.067,60.598,0,0.010
Test1,1-Stretch,7.133,60.598,0,0.010
Test1,1-Stretch,7.200,60.598,0,0.010
Test1,1-Stretch,7.267,60.598,0,-0.011
Test1,1-Stretch,7.333,60.598,0,-0.033
Test1,1-Stretch,7.400,60.598,0,-0.011
Test1,1-Stretch,7.467,60.598,0,0.010
Test1,1-Stretch,7.533,60.598,0,0.010
Test1,1-Stretch,7.600,60.598,0,-0.011
Test1,1-Stretch,7.667,60.598,0,0.010
Test1,1-Stretch,7.733,60.598,0,0.010
Test1,1-Stretch,7.800,60.598,0,0.010
Test1,1-Stretch,7.867,60.598,0,0.010
Test1,1-Stretch,7.933,60.598,0,-0.011
Test1,1-Stretch,8.000,60.598,0,-0.033
Test1,1-Stretch,8.067,60.598,0,0.010
Test1,1-Stretch,8.133,60.598,0,0.010
Test1,1-Stretch,8.200,60.598,0,-0.011
Test1,1-Stretch,8.267,60.598,0,-0.011
Test1,1-Stretch,8.333,60.598,0,0.010
Test1,1-Stretch,8.400,60.598,0,0.010
Test1,1-Stretch,8.467,60.598,0,0.010
Test1,1-Stretch,8.533,60.598,0,0.010
Test1,1-Stretch,8.600,60.598,0,-0.033
Test1,1-Stretch,8.667,60.598,0,0.010
Test1,1-Stretch,8.733,60.598,0,0.010
Test1,1-Stretch,8.800,60.598,0,0.010
Test1,1-Stretch,8.867,60.598,0,-0.011
Test1,1-Stretch,8.933,60.598,0,0.010
Test1,1-Stretch,9.000,60.598,0,0.010
Test1,1-Stretch,9.067,60.598,0,0.010
