SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Test1,1-Stretch,0.000,50.631,0,-0.006
Test1,1-Stretch,0.067,50.631,0,-0.006
Test1,1-Stretch,0.133,50.631,0,0.037
Test1,1-Stretch,0.200,50.631,0,0.123
Test1,1-Stretch,0.267,50.631,0,-0.006
Test1,1-Stretch,0.333,50.631,0,0.016
Test1,1-Stretch,0.400,50.631,0,0.080
Test1,1-Stretch,0.467,50.631,0,-0.006
Test1,1-Stretch,0.533,50.631,0,-0.006
Test1,1-Stretch,0.600,50.631,0,0.080
Test1,1-Stretch,0.667,50.631,0,0.059
Test1,1-Stretch,0.733,50.631,0,-0.006
Test1,1-Stretch,0.800,50.631,0,0.080
Test1,1-Stretch,0.867,50.631,0,0.080
Test1,1-Stretch,0.933,50.631,0,-0.006
Test1,1-Stretch,1.000,50.631,0,0.016
Test1,1-Stretch,1.067,50.631,0,0.059
Test1,1-Stretch,1.133,50.631,0,-0.006
Test1,1-Stretch,1.200,50.631,0,0.016
Test1,1-Stretch,1.267,50.631,0,0.102
Test1,1-Stretch,1.333,50.631,0,-0.006
Test1,1-Stretch,1.400,50.631,0,0.037
Test1,1-Stretch,1.467,50.631,0,0.145
Test1,1-Stretch,1.533,50.631,0,0.037
Test1,1-Stretch,1.600,50.631,0,-0.006
Test1,1-Stretch,1.667,50.631,0,0.080
Test1,1-Stretch,1.733,50.631,0,0.037
Test1,1-Stretch,1.800,50.631,0,-0.006
Test1,1-Stretch,1.867,50.631,0,0.080
Test1,1-Stretch,1.933,50.631,0,0.059
Test1,1-Stretch,2.000,50.631,0,-0.006
Test1,1-Stretch,2.067,50.631,0,0.080
Test1,1-Stretch,2.133,50.631,0,0.123
Test1,1-Stretch,2.200,50.631,0,-0.006
Test1,1-Stretch,2.267,50.631,0,0.016
Test1,1-Stretch,2.333,50.631,0,0.080
Test1,1-Stretch,2.400,50.631,0,0.016
Test1,1-Stretch,2.467,50.631,0,0.016
Test1,1-Stretch,2.533,50.631,0,0.123
Test1,1-Stretch,2.600,50.631,0,0.016
Test1,1-Stretch,2.667,50.631,0,-0.006
Test1,1-Stretch,2.733,50.631,0,0.102
Test1,1-Stretch,2.800,50.631,0,0.037
Test1,1-Stretch,2.867,50.631,0,-0.006
Test1,1-Stretch,2.933,50.631,0,0.037
Test1,1-Stretch,3.000,50.631,0,0.059
Test1,1-Stretch,3.067,50.631,0,-0.006
Test1,1-Stretch,3.133,50.631,0,0.037
Test1,1-Stretch,3.200,50.631,0,0.102
Test1,1-Stretch,3.267,50.631,0,-0.006
Test1,1-Stretch,3.333,50.631,0,0.037
Test1,1-Stretch,3.400,50.631,0,0.145
Test1,1-Stretch,3.467,50.631,0,0.037
Test1,1-Stretch,3.533,50.631,0,0.016
Test1,1-Stretch,3.600,50.631,0,0.059
Test1,1-Stretch,3.667,50.631,0,0.037
Test1,1-Stretch,3.733,50.631,0,-0.006
Test1,1-Stretch,3.800,50.631,0,0.080
Test1,1-Stretch,3.867,50.631,0,0.037
Test1,1-Stretch,3.933,50.631,0,-0.006
Test1,1-Stretch,4.000,50.631,0,0.059
Test1,1-Stretch,4.067,50.631,0,0.102
Test1,1-Stretch,4.133,50.631,0,-0.006
Test1,1-Stretch,4.200,50.631,0,0.016
Test1,1-Stretch,4.267,50.631,0,0.080
Test1,1-Stretch,4.333,50.631,0,-0.006
Test1,1-Stretch,4.400,50.631,0,0.016
Test1,1-Stretch,4.467,50.631,0,0.102
Test1,1-Stretch,4.533,50.631,0,-0.006
Test1,1-Stretch,4.600,50.631,0,0.016
Test1,1-Stretch,4.667,50.631,0,0.145
Test1,1-Stretch,4.733,50.631,0,0.059
Test1,1-Stretch,4.800,50.631,0,-0.006
Test1,1-Stretch,4.867,50.631,0,0.059
Test1,1-Stretch,4.933,50.631,0,0.059
Test1,1-Stretch,5.000,50.631,0,-0.006
Test1,1-Stretch,5.067,50.631,0,0.102
Test1,1-Stretch,5.133,50.631,0,0.080
Test1,1-Stretch,5.200,50.631,0,-0.006
Test1,1-Stretch,5.267,50.631,0,0.037
Test1,1-Stretch,5.333,50.631,0,0.145
Test1,1-Stretch,5.400,50.631,0,0.016
Test1,1-Stretch,5.467,50.631,0,0.016
Test1,1-Stretch,5.533,50.631,0,0.080
Test1,1-Stretch,5.600,50.631,0,0.016
Test1,1-Stretch,5.667,50.631,0,-0.006
Test1,1-Stretch,5.733,50.631,0,0.102
Test1,1-Stretch,5.800,50.631,0,0.037
Test1,1-Stretch,5.867,50.631,0,-0.006
Test1,1-Stretch,5.933,50.631,0,0.080
Test1,1-Stretch,6.000,50.631,0,0.080
Test1,1-Stretch,6.067,50.631,0,-0.006
Test1,1-Stretch,6.133,50.631,0,0.037
Test1,1-Stretch,6.200,50.631,0,0.102
Test1,1-Stretch,6.267,50.631,0,0.016
Test1,1-Stretch,6.333,50.631,0,0.016
Test1,1-Stretch,6.400,50.631,0,0.102
Test1,1-Stretch,6.467,50.631,0,0.016
Test1,1-Stretch,6.533,50.631,0,-0.006
Test1,1-Stretch,6.600,50.631,0,0.145
Test1,1-Stretch,6.667,50.631,0,0.037
