Time (s),Force (N) E1,Force (N) E2,Force (N) E3,Force (N) O1,Force (N) O2,Force (N) O3,Force (N) O4
0,-0.033,0.045,-0.062,-0.006,-0.006,-0.006,0.08
0.067,0.01,0.002,0.045,-0.006,0.08,0.102,-0.006
0.133,0.01,-0.041,-0.041,-0.006,0.037,0.059,0.037
0.2,-0.011,0.002,-0.105,0.037,-0.006,-0.006,0.08
0.267,-0.011,0.045,-0.041,-0.006,0.059,0.016,-0.006
0.333,0.01,0.045,-0.062,-0.006,0.037,0.123,0.059
0.4,0.01,-0.019,-0.105,0.037,-0.006,-0.006,0.145
0.467,0.01,-0.019,0.002,0.059,0.08,0.037,0.037
0.533,0.01,0.002,-0.041,-0.006,0.08,0.08,0.016
0.6,-0.033,0.045,-0.105,-0.006,-0.006,-0.006,0.08
0.667,-0.011,0.045,-0.019,-0.006,0.037,-0.006,0.059
0.733,0.01,-0.041,-0.019,-0.006,0.08,0.08,-0.006
0.8,0.01,-0.019,-0.105,0.016,-0.006,-0.006,0.08
0.867,-0.011,0.024,-0.084,0.037,0.016,-0.006,0.08
0.933,-0.011,0.045,-0.019,-0.006,0.059,0.123,-0.006
1,0.01,0.024,-0.105,-0.006,-0.006,0.037,0.08
1.067,0.01,-0.041,-0.084,0.037,0.016,-0.006,0.123
1.133,-0.011,-0.019,0.024,0.037,0.145,0.059,-0.006
1.2,-0.011,0.024,-0.105,-0.027,0.059,0.059,0.059
1.267,-0.033,0.045,-0.105,-0.006,-0.006,-0.006,0.102
1.333,0.01,0.024,0.002,-0.006,0.08,0.037,0.016
1.4,0.01,-0.019,-0.062,-0.006,0.037,0.059,0.016
1.467,0.01,0.002,-0.105,0.016,-0.006,-0.006,0.102
1.533,-0.033,0.024,-0.062,-0.006,0.037,0.059,0.016
1.6,-0.011,0.045,-0.041,-0.006,0.059,0.102,0.016
1.667,0.01,-0.019,-0.105,0.016,-0.006,-0.006,0.123
1.733,0.01,-0.041,-0.062,0.059,0.059,0.016,0.059
1.8,0.01,0.002,-0.041,-0.006,0.123,0.102,-0.006
1.867,-0.011,0.045,-0.105,-0.027,-0.006,0.016,0.059
1.933,-0.033,0.045,-0.105,-0.006,0.016,-0.006,0.102
2,-0.118,-0.041,0.002,-0.22,0.08,-0.37,-0.327
2.067,-2.499,-2.55,-1.027,-2.73,-1.164,-2.966,-2.73
2.133,-5.588,-5.897,-4.181,-5.668,-4.682,-5.947,-5.797
2.2,-5.824,-6.261,-6.283,-7.063,-6.033,-6.033,-5.969
2.267,-5.76,-6.154,-6.283,-6.72,-5.132,-5.926,-5.733
2.333,-5.738,-6.261,-6.218,-6.762,-4.832,-5.947,-5.175
2.4,-5.674,-6.261,-6.176,-6.784,-4.81,-5.99,-4.896
2.467,-5.653,-6.24,-6.24,-6.72,-4.832,-5.99,-4.832
2.533,-5.653,-6.283,-6.197,-6.698,-4.81,-6.012,-4.81
2.6,-5.653,-6.24,-6.197,-6.698,-4.81,-5.947,-4.81
2.667,-5.631,-6.154,-6.197,-6.677,-4.81,-5.862,-4.832
2.733,-5.631,-6.111,-6.24,-6.634,-4.81,-5.84,-4.832
2.8,-5.653,-6.111,-6.218,-6.677,-4.81,-5.84,-4.81
2.867,-5.588,-6.111,-6.24,-6.634,-4.746,-5.84,-4.81
2.933,-5.502,-6.09,-6.261,-6.591,-4.768,-5.819,-4.81
3,-5.481,-6.09,-6.283,-6.526,-4.789,-5.776,-4.832
3.067,-5.481,-6.068,-6.218,-6.526,-4.81,-5.776,-4.832
3.133,-5.502,-6.09,-6.154,-6.526,-4.768,-5.797,-4.81
3.2,-5.481,-6.09,-6.133,-6.526,-4.725,-5.69,-4.81
3.267,-5.481,-5.983,-6.111,-6.462,-4.746,-5.668,-4.81
3.333,-5.481,-5.94,-6.111,-6.441,-4.789,-5.668,-4.81
3.4,-5.438,-5.94,-6.111,-6.484,-4.81,-5.668,-4.81
3.467,-5.374,-5.94,-6.111,-6.462,-4.789,-5.647,-4.789
3.533,-5.395,-5.94,-6.111,-6.376,-4.725,-5.668,-4.789
3.6,-5.395,-5.918,-6.111,-6.355,-4.768,-5.647,-4.81
3.667,-5.352,-5.875,-6.09,-6.355,-4.789,-5.561,-4.81
3.733,-5.331,-5.897,-6.047,-6.355,-4.81,-5.518,-4.768
3.8,-5.309,-5.918,-6.047,-6.333,-4.768,-5.497,-4.746
3.867,-5.309,-5.811,-6.09,-6.355,-4.725,-5.518,-4.768
3.933,-5.288,-5.811,-6.09,-6.291,-4.768,-5.497,-4.81
4,-5.181,-5.768,-6.025,-6.291,-4.81,-5.475,-4.81
4.067,-5.159,-5.768,-5.961,-6.333,-4.81,-5.497,-4.768
4.133,-5.224,-5.768,-5.94,-6.291,-4.746,-5.475,-4.746
4.2,-5.224,-5.768,-5.94,-6.248,-4.703,-5.368,-4.789
4.267,-5.159,-5.768,-5.94,-6.269,-4.725,-5.411,-4.81
4.333,-5.159,-5.768,-5.961,-6.269,-4.703,-5.411,-4.81
4.4,-5.202,-5.661,-5.961,-6.226,-4.725,-5.368,-4.725
4.467,-5.116,-5.618,-5.94,-6.205,-4.725,-5.347,-4.746
4.533,-5.138,-5.639,-5.94,-6.183,-4.66,-5.325,-4.789
4.6,-5.138,-5.704,-5.961,-6.183,-4.682,-5.304,-4.81
4.667,-5.138,-5.639,-5.983,-6.097,-4.66,-5.239,-4.768
4.733,-5.116,-5.596,-6.025,-6.055,-4.682,-5.197,-4.725
4.8,-5.073,-5.596,-6.068,-6.033,-4.682,-5.175,-4.768
4.867,-5.052,-5.553,-6.111,-6.055,-4.66,-5.175,-4.789
4.933,-4.988,-5.532,-6.111,-6.097,-4.66,-5.197,-4.81
5,-4.966,-5.489,-6.025,-6.055,-4.66,-5.175,-4.746
5.067,-4.966,-5.446,-5.94,-6.012,-4.703,-5.154,-4.725
5.133,-4.945,-5.425,-5.94,-6.012,-4.682,-5.154,-4.768
5.2,-4.923,-5.468,-5.94,-5.969,-4.66,-5.111,-4.81
5.267,-4.945,-5.468,-5.94,-5.926,-4.66,-5.089,-4.81
5.333,-4.902,-5.468,-5.875,-5.926,-4.66,-5.068,-4.725
5.4,-4.816,-5.425,-5.811,-6.012,-4.703,-4.982,-4.703
5.467,-4.816,-5.425,-5.768,-5.99,-4.682,-4.982,-4.746
5.533,-4.795,-5.425,-5.789,-5.947,-4.66,-4.939,-4.725
5.6,-4.773,-5.425,-5.768,-5.947,-4.66,-4.918,-4.768
5.667,-4.795,-5.403,-5.768,-5.926,-4.66,-4.853,-4.725
5.733,-4.752,-5.425,-5.704,-5.883,-4.703,-4.81,-4.66
5.8,-4.666,-5.382,-5.639,-5.84,-4.725,-4.81,-4.66
5.867,-4.687,-5.253,-5.618,-5.84,-4.682,-4.789,-4.66
5.933,-4.644,-5.253,-5.596,-5.819,-4.66,-4.746,-4.725
6,-4.623,-5.253,-5.532,-5.819,-4.66,-4.768,-4.66
6.067,-4.602,-5.253,-5.489,-5.819,-4.725,-4.81,-4.682
6.133,-4.537,-5.21,-5.446,-5.711,-4.703,-4.81,-4.66
6.2,-4.516,-5.124,-5.489,-5.668,-4.682,-4.768,-4.66
6.267,-4.473,-5.082,-5.425,-5.668,-4.66,-4.746,-4.682
6.333,-4.451,-5.082,-5.425,-5.647,-4.682,-4.789,-4.682
6.4,-4.387,-5.082,-5.339,-5.668,-4.725,-4.81,-4.66
6.467,-4.366,-5.06,-5.253,-5.583,-4.703,-4.81,-4.639
6.533,-4.43,-4.996,-5.253,-5.518,-4.682,-4.746,-4.66
6.6,-4.451,-4.931,-5.189,-5.518,-4.66,-4.746,-4.682
6.667,-4.323,-4.931,-5.189,-5.518,-4.682,-4.768,-4.682
6.733,-4.237,-4.91,-5.21,-5.497,-4.746,-4.81,-4.682
6.8,-4.108,-4.91,-5.253,-5.433,-4.703,-4.768,-4.66
6.867,-4.108,-4.91,-5.232,-5.411,-4.66,-4.725,-4.66
6.933,-4.108,-4.803,-5.167,-5.347,-4.66,-4.768,-4.703
7,-4.108,-4.76,-5.189,-5.347,-4.682,-4.768,-4.682
7.067,-4.108,-4.738,-5.232,-5.325,-4.725,-4.789,-4.682
7.133,-4.108,-4.738,-5.253,-5.325,-4.703,-4.746,-4.66
7.2,-4.108,-4.674,-5.232,-5.347,-4.66,-4.703,-4.682
7.267,-4.108,-4.653,-5.167,-5.347,-4.66,-4.66,-4.725
7.333,-4.108,-4.631,-5.189,-5.347,-4.682,-4.703,-4.682
7.4,-4.108,-4.567,-5.232,-5.325,-4.725,-4.746,-4.682
