Date and Time Run #1,Time (s) Run #1,Position (m) Run #1,Force (N) Run #1,Speed (mm/min) Run #1,Date and Time Run #2,Time (s) Run #2,Position (m) Run #2,Force (N) Run #2,Speed (mm/min) Run #2,Date and Time Run #3,Time (s) Run #3,Position (m) Run #3,Force (N) Run #3,Speed (mm/min) Run #3,Date and Time Run #4,Time (s) Run #4,Position (m) Run #4,Force (N) Run #4,Speed (mm/min) Run #4,Date and Time Run #5,Time (s) Run #5,Position (m) Run #5,Force (N) Run #5,Speed (mm/min) Run #5,Date and Time Run #6,Time (s) Run #6,Position (m) Run #6,Force (N) Run #6,Speed (mm/min) Run #6
03/04/2024 17:10:32,0,0,0,,03/04/2024 17:11:09,0,0,0,0,03/04/2024 17:11:54,0,0,0,0,03/04/2024 17:12:39,0,0,0,0,03/04/2024 17:13:25,0,0,0,0,03/04/2024 17:14:11,0,0,0,0
03/04/2024 17:10:32,0.1,0,0,0,03/04/2024 17:11:09,0.1,0,0,0,03/04/2024 17:11:54,0.1,0,0,0,03/04/2024 17:12:39,0.1,0,0,0,03/04/2024 17:13:25,0.1,0,0,0,03/04/2024 17:14:11,0.1,0,0,0
03/04/2024 17:10:32,0.2,0,0,0,03/04/2024 17:11:09,0.2,0,0,0,03/04/2024 17:11:54,0.2,0,0,0,03/04/2024 17:12:39,0.2,0,0,0,03/04/2024 17:13:25,0.2,0,0,0,03/04/2024 17:14:11,0.2,0,0,0
03/04/2024 17:10:32,0.3,0,0,0,03/04/2024 17:11:09,0.3,0,0,0,03/04/2024 17:11:54,0.3,0,0,0,03/04/2024 17:12:39,0.3,0,0,0,03/04/2024 17:13:25,0.3,0,0,0,03/04/2024 17:14:11,0.3,0,0,0
03/04/2024 17:10:32,0.4,0,0,0,03/04/2024 17:11:09,0.4,0,0,0,03/04/2024 17:11:54,0.4,0,0,0,03/04/2024 17:12:39,0.4,0,0,0,03/04/2024 17:13:25,0.4,0,0,0,03/04/2024 17:14:11,0.4,0,0,0
03/04/2024 17:10:32,0.5,0,0,0,03/04/2024 17:11:09,0.5,0,0,0,03/04/2024 17:11:54,0.5,0,0,0,03/04/2024 17:12:39,0.5,0,0,0,03/04/2024 17:13:25,0.5,0,0,0,03/04/2024 17:14:11,0.5,0,0,0
03/04/2024 17:10:32,0.6,0,1,0,03/04/2024 17:11:09,0.6,0,2,0,03/04/2024 17:11:54,0.6,0,6,0,03/04/2024 17:12:39,0.6,0,4,0,03/04/2024 17:13:25,0.6,0,9,0,03/04/2024 17:14:11,0.6,0,3,0
03/04/2024 17:10:32,0.7,0,8,0,03/04/2024 17:11:09,0.7,0,10,0,03/04/2024 17:11:54,0.7,0,13,0,03/04/2024 17:12:39,0.7,0,14,0,03/04/2024 17:13:25,0.7,0,18,0,03/04/2024 17:14:11,0.7,0,16,0
03/04/2024 17:10:32,0.8,0,7,0,03/04/2024 17:11:09,0.8,0,10,0,03/04/2024 17:11:54,0.8,0,17,0,03/04/2024 17:12:39,0.8,0,19,0,03/04/2024 17:13:25,0.8,0,23,0,03/04/2024 17:14:11,0.8,0,23,0
03/04/2024 17:10:32,0.9,0,7,0,03/04/2024 17:11:09,0.9,0,10,0,03/04/2024 17:11:54,0.9,0,17,0,03/04/2024 17:12:39,0.9,0,19,0,03/04/2024 17:13:25,0.9,0,26,0,03/04/2024 17:14:11,0.9,0,20,0
03/04/2024 17:10:33,1,0,7,0,03/04/2024 17:11:10,1,0,10,0,03/04/2024 17:11:55,1,0,17,0,03/04/2024 17:12:40,1,0,19,0,03/04/2024 17:13:26,1,0,24,0,03/04/2024 17:14:12,1,0,20,0
03/04/2024 17:10:33,1.1,0,7,0,03/04/2024 17:11:10,1.1,0,10,0,03/04/2024 17:11:55,1.1,0,17,0,03/04/2024 17:12:40,1.1,0,19,0,03/04/2024 17:13:26,1.1,0,25,0,03/04/2024 17:14:12,1.1,0,19,0
