"Time (s) Run #1","Position (m) Run #1","Force (N) Run #1","Speed (mm/min) Run #1","Time (s) Run #2","Position (m) Run #2","Force (N) Run #2","Speed (mm/min) Run #2"
0.000,0.00000,0,,0.000,0.00000,0,
0.050,0.00000,0,0.00,0.050,0.00000,0,0.00
0.100,0.00000,0,0.00,0.100,0.00000,0,0.00
0.150,0.00000,0,0.00,0.150,0.00000,0,0.00
0.200,0.00000,0,0.00,0.200,0.00000,0,0.00
0.250,0.00000,0,0.00,0.250,0.00000,1,0.00
0.300,0.00000,0,0.00,0.300,0.00000,0,0.00
0.350,0.00000,0,0.00,0.350,0.00000,0,0.00
0.400,0.00000,0,0.00,0.400,0.00000,0,0.00
0.450,0.00000,0,0.00,0.450,0.00000,0,0.00
0.500,0.00000,1,0.00,0.500,0.00000,0,0.00
0.550,0.00000,0,0.00,0.550,0.00000,0,0.00
0.600,0.00000,0,0.00,0.600,0.00000,0,0.00
0.650,0.00000,0,0.00,0.650,0.00000,0,0.00
0.700,0.00000,1,0.00,0.700,0.00000,0,0.00
0.750,0.00000,0,0.00,0.750,0.00000,0,0.00
0.800,0.00000,0,0.00,0.800,0.00000,0,0.00
0.850,0.00000,1,0.00,0.850,0.00000,0,0.00
0.900,0.00000,0,0.00,0.900,0.00000,0,0.00
0.950,0.00000,0,0.00,0.950,0.00000,0,0.00
1.000,0.00000,0,0.00,1.000,0.00000,0,0.00
1.050,0.00000,1,0.00,1.050,0.00000,0,0.00
1.100,0.00000,0,0.00,1.100,0.00000,0,0.00
1.150,0.00000,0,0.00,1.150,0.00000,0,0.00
1.200,0.00000,0,0.00,1.200,0.00000,0,0.00
1.250,0.00000,0,0.00,1.250,0.00000,0,0.00
1.300,0.00000,0,0.00,1.300,0.00000,0,0.00
1.350,0.00000,0,0.00,1.350,0.00000,0,0.00
1.400,0.00000,0,0.00,1.400,0.00000,0,0.00
1.450,0.00000,0,0.00,1.450,0.00000,0,0.00
1.500,0.00000,0,0.00,1.500,0.00000,0,0.00
1.550,0.00000,0,0.00,1.550,0.00000,0,0.00
1.600,0.00000,1,0.00,1.600,0.00000,0,0.00
1.650,0.00000,0,0.00,1.650,0.00000,0,0.00
1.700,0.00000,0,0.00,1.700,0.00000,0,0.00
1.750,0.00000,0,0.00,1.750,0.00000,0,0.00
1.800,0.00000,0,0.00,1.800,0.00000,0,0.00
1.850,0.00000,1,0.00,1.850,0.00000,0,0.00
1.900,0.00000,0,0.00,1.900,0.00000,0,0.00
1.950,0.00000,1,0.00,1.950,0.00000,0,0.00
2.000,0.00000,0,0.00,2.000,0.00000,0,0.00
2.050,0.00000,0,0.00,2.050,0.00000,0,0.00
2.100,0.00000,0,0.00,2.100,0.00000,0,0.00
2.150,0.00000,0,0.00,2.150,0.00000,0,0.00
2.200,0.00000,1,0.00,2.200,0.00000,0,0.00
2.250,0.00000,0,0.00,2.250,0.00000,0,0.00
2.300,0.00000,0,0.00,2.300,0.00000,0,0.00
2.350,0.00000,0,0.00,2.350,0.00000,0,0.00
2.400,0.00000,0,0.00,2.400,0.00000,0,0.00
2.450,0.00000,0,0.00,2.450,0.00000,1,0.00
2.500,0.00000,0,0.00,2.500,0.00000,0,0.00
2.550,0.00000,0,0.00,2.550,0.00000,1,0.00
2.600,0.00000,0,0.00,2.600,0.00000,0,0.00
2.650,0.00000,0,0.00,2.650,0.00000,0,0.00
2.700,0.00000,0,0.00,2.700,0.00000,0,0.00
2.750,0.00000,1,0.00,2.750,0.00000,0,0.00
2.800,0.00000,1,0.00,2.800,0.00000,0,0.00
2.850,0.00000,0,0.00,2.850,0.00000,0,0.00
2.900,0.00000,1,0.00,2.900,0.00000,0,0.00
2.950,0.00000,0,0.00,2.950,0.00000,0,0.00
3.000,0.00000,0,0.00,3.000,0.00000,0,0.00
3.050,0.00000,0,0.00,3.050,0.00000,0,0.00
3.100,0.00000,0,0.00,3.100,0.00000,0,0.00
3.150,0.00000,0,0.00,3.150,0.00000,0,0.00
3.200,0.00000,0,0.00,3.200,0.00000,1,0.00
3.250,0.00000,0,0.00,3.250,0.00000,0,0.00
3.300,0.00000,1,0.00,3.300,0.00000,0,0.00
3.350,0.00000,0,0.00,3.350,0.00000,0,0.00
3.400,0.00000,0,0.00,3.400,0.00000,0,0.00
3.450,0.00000,0,0.00,3.450,0.00000,0,0.00
3.500,0.00000,0,0.00,3.500,0.00000,0,0.00
3.550,0.00000,1,0.00,3.550,0.00000,0,0.00
3.600,0.00000,0,0.00,3.600,0.00000,0,0.00
3.650,0.00000,0,0.00,3.650,0.00000,0,0.00
3.700,0.00000,0,0.00,3.700,0.00000,0,0.00
3.750,0.00000,0,0.00,3.750,0.00000,0,0.00
3.800,0.00000,0,0.00,3.800,0.00000,0,0.00
3.850,0.00000,0,0.00,3.850,0.00000,1,0.00
3.900,0.00000,0,0.00,3.900,0.00000,1,0.00
3.950,0.00000,0,0.00,3.950,0.00000,1,0.00
4.000,0.00000,0,0.00,4.000,0.00000,1,0.00
4.050,0.00000,1,0.00,4.050,0.00000,2,0.00
4.100,0.00000,1,0.00,4.100,0.00000,2,0.00
4.150,0.00000,1,0.00,4.150,0.00000,3,0.00
4.200,0.00000,1,0.00,4.200,0.00000,3,0.00
4.250,0.00000,1,0.00,4.250,0.00000,3,0.00
4.300,0.00000,2,0.00,4.300,0.00000,4,0.00
4.350,0.00000,2,0.00,4.350,0.00000,4,0.00
4.400,0.00000,2,0.00,4.400,0.00000,5,0.00
4.450,0.00000,2,0.00,4.450,0.00000,5,0.00
4.500,0.00000,2,0.00,4.500,0.00000,5,0.00
4.550,0.00000,2,0.00,4.550,0.00000,6,0.00
4.600,0.00000,2,0.00,4.600,0.00000,6,0.00
4.650,0.00000,3,0.00,4.650,0.00000,6,0.00
4.700,0.00000,2,0.00,4.700,0.00000,7,0.00
4.750,0.00000,3,0.00,4.750,0.00000,7,0.00
4.800,0.00000,2,0.00,4.800,0.00000,7,0.00
4.850,0.00000,3,0.00,4.850,0.00000,8,0.00
4.900,0.00000,3,0.00,4.900,0.00000,9,0.00
4.950,0.00000,3,0.00,4.950,0.00000,8,0.00
5.000,0.00000,3,0.00,5.000,0.00000,9,0.00
5.050,0.00000,4,0.00,5.050,0.00000,9,0.00
5.100,0.00000,3,0.00,5.100,0.00000,10,0.00
5.150,0.00000,4,0.00,5.150,0.00000,10,0.00
5.200,0.00000,4,0.00,5.200,0.00000,11,0.00
5.250,0.00000,5,0.00,5.250,0.00000,11,0.00
5.300,0.00000,5,0.00,5.300,0.00000,12,0.00
5.350,0.00000,4,0.00,5.350,0.00000,12,0.00
5.400,0.00000,4,0.00,5.400,0.00000,12,0.00
5.450,0.00000,5,0.00,5.450,0.00000,13,0.00
5.500,0.00000,6,0.00,5.500,0.00000,13,0.00
5.550,0.00000,5,0.00,5.550,0.00000,14,0.00
5.600,0.00000,5,0.00,5.600,0.00000,14,0.00
5.650,0.00000,5,0.00,5.650,0.00000,14,0.00
5.700,0.00000,6,0.00,5.700,0.00000,15,0.00
5.750,0.00000,6,0.00,5.750,0.00000,15,0.00
5.800,0.00000,6,0.00,5.800,0.00000,15,0.00
5.850,0.00000,6,0.00,5.850,0.00000,16,0.00
5.900,0.00000,6,0.00,5.900,0.00000,16,0.00
5.950,0.00000,7,0.00,5.950,0.00000,17,0.00
6.000,0.00000,7,0.00,6.000,0.00000,17,0.00
6.050,0.00000,7,0.00,6.050,0.00000,18,0.00
6.100,0.00000,6,0.00,6.100,0.00000,19,0.00
6.150,0.00000,7,0.00,6.150,0.00000,20,0.00
6.200,0.00000,7,0.00,6.200,0.00000,20,0.00
6.250,0.00000,7,0.00,6.250,0.00000,20,0.00
6.300,0.00000,7,0.00,6.300,0.00000,21,0.00
6.350,0.00000,8,0.00,6.350,0.00000,22,0.00
6.400,0.00000,8,0.00,6.400,0.00000,23,0.00
6.450,0.00000,8,0.00,6.450,0.00000,24,0.00
6.500,0.00000,8,0.00,6.500,0.00000,24,0.00
6.550,0.00000,9,0.00,6.550,0.00000,25,0.00
6.600,0.00000,8,0.00,6.600,0.00000,26,0.00
